ip_proto,tp_src,tp_dst,packet_count,byte_count,duration_sec,packet_count_per_sec,byte_count_per_sec,packet_size_avg,flow_duration,label
1,0,0,1,98,33,0.0298,2.9224,98.0,33.534,1
1,0,0,1,98,33,0.0298,2.9228,98.0,33.53,1
6,33364,5001,5385489,238726408274,31,171103.7014,7584635687.8157,44327.7125,31.475,1
6,47966,80,0,0,31,0.0,0.0,0.0,31.472,1
1,0,0,2,196,38,0.0518,5.0793,98.0,38.588,1
1,0,0,1,98,38,0.0259,2.5399,98.0,38.584,1
1,0,0,1,98,38,0.0259,2.5402,98.0,38.58,1
1,0,0,1,98,38,0.0259,2.5404,98.0,38.576,1
1,0,0,1,98,38,0.0259,2.5408,98.0,38.57,1
1,0,0,1,98,38,0.0259,2.5414,98.0,38.562,1
1,0,0,1,98,38,0.0259,2.5416,98.0,38.558,1
1,0,0,1,98,38,0.0259,2.542,98.0,38.553,1
1,0,0,1,98,38,0.0259,2.5422,98.0,38.549,1
1,0,0,1,98,38,0.0259,2.5429,98.0,38.539,1
1,0,0,1,98,38,0.026,2.5431,98.0,38.535,1
1,0,0,1,98,38,0.026,2.5434,98.0,38.531,1
6,33364,5001,6257962,277399574100,36,171563.8228,7604988872.1351,44327.4622,36.476,1
6,47966,80,0,0,36,0.0,0.0,0.0,36.473,1
1,0,0,1,98,38,0.0259,2.5402,98.0,38.58,1
1,0,0,1,98,38,0.0259,2.5405,98.0,38.575,1
1,0,0,1,98,38,0.0259,2.5408,98.0,38.57,1
1,0,0,2,196,38,0.0519,5.0834,98.0,38.557,1
1,0,0,1,98,38,0.0259,2.542,98.0,38.553,1
1,0,0,1,98,38,0.0259,2.5423,98.0,38.548,1
1,0,0,2,196,38,0.0519,5.0858,98.0,38.539,1
1,0,0,1,98,38,0.026,2.5431,98.0,38.535,1
1,0,0,1,98,38,0.026,2.5434,98.0,38.531,1
1,0,0,1,98,38,0.026,2.5441,98.0,38.521,1
1,0,0,1,98,38,0.026,2.5443,98.0,38.518,1
1,0,0,1,98,38,0.026,2.5451,98.0,38.506,1
1,0,0,2,196,43,0.0459,4.4967,98.0,43.588,1
1,0,0,1,98,43,0.0229,2.2485,98.0,43.584,1
1,0,0,1,98,43,0.0229,2.2487,98.0,43.58,1
1,0,0,1,98,43,0.0229,2.2489,98.0,43.576,1
1,0,0,1,98,43,0.023,2.2493,98.0,43.57,1
1,0,0,1,98,43,0.023,2.2497,98.0,43.562,1
1,0,0,1,98,43,0.023,2.2499,98.0,43.558,1
1,0,0,1,98,43,0.023,2.2501,98.0,43.553,1
1,0,0,1,98,43,0.023,2.2503,98.0,43.549,1
1,0,0,1,98,43,0.023,2.2509,98.0,43.539,1
