ip_proto,tp_src,tp_dst,packet_count,byte_count,duration_sec,packet_count_per_sec,byte_count_per_sec,packet_size_avg,flow_duration,label
6,56272,40287,0,0,20,0.0,0.0,0.0,20.36,2
6,56272,62355,0,0,10,0.0,0.0,0.0,10.375,2
6,56272,57536,0,0,0,0.0,0.0,0.0,0.671,2
6,56272,44911,0,0,10,0.0,0.0,0.0,10.316,2
6,56272,64074,0,0,0,0.0,0.0,0.0,0.625,2
6,56272,39815,0,0,5,0.0,0.0,0.0,5.374,2
6,56272,50309,0,0,15,0.0,0.0,0.0,15.106,2
6,56272,56641,0,0,20,0.0,0.0,0.0,20.636,2
6,56272,50598,0,0,0,0.0,0.0,0.0,0.47,2
6,56272,57082,0,0,15,0.0,0.0,0.0,15.479,2
6,56272,28494,0,0,15,0.0,0.0,0.0,15.13,2
6,1428,8443,4947590,222641550,85,58106.09899869997,2614774.4549414986,45.0,85.1475161,0
6,56272,11795,0,0,10,0.0,0.0,0.0,10.424,2
1,0,0,1,98,8,0.1166,11.4299,98.0,8.574,1
6,56272,15494,0,0,5,0.0,0.0,0.0,5.0,2
6,56272,15719,0,0,5,0.0,0.0,0.0,5.186,2
6,56272,20245,0,0,0,0.0,0.0,0.0,0.053,2
6,56272,11898,0,0,20,0.0,0.0,0.0,20.239,2
6,56272,20698,0,0,15,0.0,0.0,0.0,15.216,2
6,56272,1431,0,0,15,0.0,0.0,0.0,15.233,2
6,56272,58232,0,0,15,0.0,0.0,0.0,15.084,2
6,56272,11999,0,0,5,0.0,0.0,0.0,5.127,2
6,56272,22879,0,0,20,0.0,0.0,0.0,20.136,2
6,56274,59898,0,0,8,0.0,0.0,0.0,8.222,2
6,56272,12816,0,0,10,0.0,0.0,0.0,10.653,2
6,56272,8727,0,0,15,0.0,0.0,0.0,15.437,2
6,56272,30122,0,0,20,0.0,0.0,0.0,20.629,2
6,56272,37039,0,0,15,0.0,0.0,0.0,15.515,2
6,56272,37411,0,0,0,0.0,0.0,0.0,0.511,2
6,56272,23438,0,0,10,0.0,0.0,0.0,10.256,2
6,56272,30617,0,0,0,0.0,0.0,0.0,0.457,2
6,56272,62178,0,0,5,0.0,0.0,0.0,5.359,2
6,56272,48448,0,0,20,0.0,0.0,0.0,20.293,2
6,56272,20245,0,0,5,0.0,0.0,0.0,5.05,2
6,56272,38766,0,0,10,0.0,0.0,0.0,10.263,2
6,56272,722,0,0,0,0.0,0.0,0.0,0.254,2
6,56272,40174,0,0,5,0.0,0.0,0.0,5.651,2
6,56272,61978,0,0,20,0.0,0.0,0.0,20.543,2
6,56272,40853,0,0,15,0.0,0.0,0.0,15.661,2
6,36264,80,7584085,447461015,30,248969.15503790847,14689180.147236602,59.0,30.461946175,0
6,56272,60171,0,0,0,0.0,0.0,0.0,0.459,2
6,56272,25244,0,0,20,0.0,0.0,0.0,20.192,2
6,56272,28263,0,0,10,0.0,0.0,0.0,10.203,2
6,56272,32724,0,0,15,0.0,0.0,0.0,15.291,2
6,56272,23953,0,0,20,0.0,0.0,0.0,20.276,2
6,56272,51021,0,0,0,0.0,0.0,0.0,0.447,2
6,56279,21,0,0,1,0.0,0.0,0.0,1.512,2
6,56272,22442,0,0,20,0.0,0.0,0.0,20.43,2
6,56272,20769,0,0,10,0.0,0.0,0.0,10.472,2
6,56272,58658,0,0,15,0.0,0.0,0.0,15.464,2
6,56272,61543,0,0,5,0.0,0.0,0.0,5.144,2
6,56272,38583,0,0,3,0.0,0.0,0.0,3.23,2
6,56272,48287,0,0,0,0.0,0.0,0.0,0.311,2
6,56272,60083,0,0,15,0.0,0.0,0.0,15.627,2
6,48541,8080,1127833,54135984,67,16681.320494694646,800703.383745343,48.0,67.610534811,0
6,56272,48448,0,0,10,0.0,0.0,0.0,10.293,2
6,56272,1780,0,0,15,0.0,0.0,0.0,15.205,2
6,32487,8080,428165,17554765,59,7171.587197783018,294035.0751091037,41.0,59.702962286,0
6,56272,19456,0,0,15,0.0,0.0,0.0,15.57,2
6,56272,24240,0,0,15,0.0,0.0,0.0,15.247,2
6,56272,11450,0,0,10,0.0,0.0,0.0,10.075,2
6,56272,5396,0,0,20,0.0,0.0,0.0,20.286,2
1,0,0,1,98,58,0.0171,1.6728,98.0,58.585,1
6,56272,36659,0,0,5,0.0,0.0,0.0,5.163,2
6,56272,58975,0,0,5,0.0,0.0,0.0,5.125,2
6,56272,3044,0,0,15,0.0,0.0,0.0,15.451,2
6,56272,36881,0,0,20,0.0,0.0,0.0,20.639,2
6,56272,36881,0,0,15,0.0,0.0,0.0,15.638,2
6,56272,28575,0,0,5,0.0,0.0,0.0,5.574,2
6,56272,5355,0,0,15,0.0,0.0,0.0,15.164,2
6,56272,65072,0,0,5,0.0,0.0,0.0,5.635,2
6,56272,17337,0,0,10,0.0,0.0,0.0,10.511,2
6,56272,82,0,0,5,0.0,0.0,0.0,5.09,2
6,56272,29711,0,0,4,0.0,0.0,0.0,4.906,2
6,56272,63548,0,0,10,0.0,0.0,0.0,10.249,2
6,56272,21067,0,0,5,0.0,0.0,0.0,5.65,2
6,56274,23879,0,0,8,0.0,0.0,0.0,8.214,2
6,56272,56579,0,0,10,0.0,0.0,0.0,10.477,2
6,56272,19534,0,0,10,0.0,0.0,0.0,10.399,2
6,56272,33428,0,0,5,0.0,0.0,0.0,5.523,2
6,56272,34006,0,0,15,0.0,0.0,0.0,15.196,2
6,56272,20955,0,0,5,0.0,0.0,0.0,5.114,2
6,56272,56641,0,0,15,0.0,0.0,0.0,15.635,2
6,56272,25052,0,0,15,0.0,0.0,0.0,15.352,2
6,56272,49110,0,0,4,0.0,0.0,0.0,4.881,2
6,56272,8394,0,0,5,0.0,0.0,0.0,5.001,2
6,56272,5900,0,0,0,0.0,0.0,0.0,0.679,2
6,56272,39458,0,0,10,0.0,0.0,0.0,10.48,2
6,56272,45742,0,0,15,0.0,0.0,0.0,15.609,2
6,56272,24393,0,0,10,0.0,0.0,0.0,10.496,2
6,56272,15719,0,0,15,0.0,0.0,0.0,15.165,2
6,56272,48936,0,0,10,0.0,0.0,0.0,10.029,2
6,56272,41303,0,0,5,0.0,0.0,0.0,5.164,2
6,56272,12561,0,0,10,0.0,0.0,0.0,10.438,2
6,56272,20279,0,0,10,0.0,0.0,0.0,10.145,2
6,56272,64623,0,0,10,0.0,0.0,0.0,10.218,2
1,0,0,5465481,541082619,32,165710.22396566303,16405312.17260064,99.0,32.982159273,0
6,56272,44287,0,0,15,0.0,0.0,0.0,15.38,2
6,56272,25223,0,0,0,0.0,0.0,0.0,0.588,2
6,56272,48149,0,0,5,0.0,0.0,0.0,5.277,2
6,56272,46808,0,0,10,0.0,0.0,0.0,10.467,2
6,56272,31843,0,0,20,0.0,0.0,0.0,20.251,2
6,56272,43124,0,0,15,0.0,0.0,0.0,15.11,2
6,56272,56909,0,0,5,0.0,0.0,0.0,5.443,2
6,56272,25311,0,0,0,0.0,0.0,0.0,0.641,2
6,56272,30032,0,0,5,0.0,0.0,0.0,5.029,2
6,56272,11075,0,0,15,0.0,0.0,0.0,15.611,2
6,56272,7532,0,0,0,0.0,0.0,0.0,0.412,2
6,56272,16705,0,0,5,0.0,0.0,0.0,5.13,2
6,56272,12602,0,0,4,0.0,0.0,0.0,4.9,2
6,56272,58485,0,0,0,0.0,0.0,0.0,0.584,2
6,56274,57690,0,0,3,0.0,0.0,0.0,3.211,2
6,56272,139,0,0,15,0.0,0.0,0.0,15.667,2
6,56272,21336,0,0,10,0.0,0.0,0.0,10.027,2
6,56272,65277,0,0,15,0.0,0.0,0.0,15.625,2
6,56272,20221,0,0,20,0.0,0.0,0.0,20.141,2
6,56272,9619,0,0,5,0.0,0.0,0.0,5.618,2
6,56272,49507,0,0,5,0.0,0.0,0.0,5.166,2
6,56272,52701,0,0,10,0.0,0.0,0.0,10.252,2
6,56272,11686,0,0,0,0.0,0.0,0.0,0.169,2
6,56272,14443,0,0,5,0.0,0.0,0.0,5.471,2
6,56272,57779,0,0,20,0.0,0.0,0.0,20.243,2
6,16207,8080,716997,39434835,12,56132.11453741887,3087266.299558038,55.0,12.773383043,0
