protocol,model,fold,heldout_scenario,heldout_label,n_test_snapshots,accuracy,precision_anomaly,recall_anomaly,f1_anomaly,false_positive_rate_normal
LOSO_scenario_early_binary_no_ports_no_smote,IsolationForest,10,normal_mesh_ping_iperf_http_b,normal,43721,0.9361862720431828,0.0,0.0,0.0,0.063813727956817
LOSO_scenario_early_binary_no_ports_no_smote,Autoencoder,10,normal_mesh_ping_iperf_http_b,normal,43721,0.9349740399350428,0.0,0.0,0.0,0.0650259600649573
LOSO_scenario_early_binary_no_ports_no_smote,RandomForest,11,normal_mesh_udp_tcp_c,normal,19909,0.8337435330754935,0.0,0.0,0.0,0.1662564669245065
LOSO_scenario_early_binary_no_ports_no_smote,XGBoost,11,normal_mesh_udp_tcp_c,normal,19909,0.8120448038575518,0.0,0.0,0.0,0.1879551961424481
LOSO_scenario_early_binary_no_ports_no_smote,IsolationForest,11,normal_mesh_udp_tcp_c,normal,19909,0.9519312873574766,0.0,0.0,0.0,0.0480687126425234
LOSO_scenario_early_binary_no_ports_no_smote,Autoencoder,11,normal_mesh_udp_tcp_c,normal,19909,0.9416344366869256,0.0,0.0,0.0,0.0583655633130744
LOSO_scenario_early_binary_no_ports_no_smote,RandomForest,12,normal_ping_iperf_light,normal,201,1.0,0.0,0.0,0.0,0.0
LOSO_scenario_early_binary_no_ports_no_smote,XGBoost,12,normal_ping_iperf_light,normal,201,1.0,0.0,0.0,0.0,0.0
LOSO_scenario_early_binary_no_ports_no_smote,IsolationForest,12,normal_ping_iperf_light,normal,201,0.9552238805970148,0.0,0.0,0.0,0.044776119402985
LOSO_scenario_early_binary_no_ports_no_smote,Autoencoder,12,normal_ping_iperf_light,normal,201,0.9253731343283582,0.0,0.0,0.0,0.0746268656716417
LOSO_scenario_early_binary_no_ports_no_smote,RandomForest,13,portscan_connect_h6_h3_p20_120_r60,portscan,3042,0.7547666009204471,1.0,0.7547666009204471,0.8602472836268266,
LOSO_scenario_early_binary_no_ports_no_smote,XGBoost,13,portscan_connect_h6_h3_p20_120_r60,portscan,3042,0.7416173570019724,1.0,0.7416173570019724,0.8516421291053228,
LOSO_scenario_early_binary_no_ports_no_smote,IsolationForest,13,portscan_connect_h6_h3_p20_120_r60,portscan,3042,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,Autoencoder,13,portscan_connect_h6_h3_p20_120_r60,portscan,3042,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,RandomForest,14,portscan_nmap_h4_h1,portscan,149,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,XGBoost,14,portscan_nmap_h4_h1,portscan,149,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,IsolationForest,14,portscan_nmap_h4_h1,portscan,149,0.0604026845637583,1.0,0.0604026845637583,0.1139240506329113,
LOSO_scenario_early_binary_no_ports_no_smote,Autoencoder,14,portscan_nmap_h4_h1,portscan,149,0.0604026845637583,1.0,0.0604026845637583,0.1139240506329113,
LOSO_scenario_early_binary_no_ports_no_smote,RandomForest,15,portscan_nmap_h5_h2,portscan,4734,0.5768905787917195,1.0,0.5768905787917195,0.7316811788345613,
LOSO_scenario_early_binary_no_ports_no_smote,XGBoost,15,portscan_nmap_h5_h2,portscan,4734,0.5580904098014364,1.0,0.5580904098014364,0.7163774403470716,
LOSO_scenario_early_binary_no_ports_no_smote,IsolationForest,15,portscan_nmap_h5_h2,portscan,4734,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,Autoencoder,15,portscan_nmap_h5_h2,portscan,4734,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,RandomForest,16,portscan_syn_h4_h1_p1_128_r80,portscan,4464,0.6202956989247311,1.0,0.6202956989247311,0.7656574035669846,
