protocol,feature_set,model,fold,heldout_scenario,heldout_label,n_test_tuples,n_test_runs,n_test_labels,accuracy,f1_macro,recall_heldout_label,support_ddos,recall_ddos,support_normal,recall_normal,support_portscan,recall_portscan
leave_one_scenario_out,no_raw_ports,XGBoost,3,ddos_syn_multiport_multi_h4h6_h1h3,ddos,12493,5,1,0.7995677579444489,0.29620733623936185,0.7995677579444489,12493,0.7995677579444489,0,,0,
leave_one_scenario_out,no_raw_ports,RandomForest,4,ddos_syn_single_h4_h1,ddos,9463,6,1,0.852161048293353,0.3067267644206082,0.852161048293353,9463,0.852161048293353,0,,0,
leave_one_scenario_out,no_raw_ports,XGBoost,4,ddos_syn_single_h4_h1,ddos,9463,6,1,0.8600866532812005,0.30826042495171,0.8600866532812005,9463,0.8600866532812005,0,,0,
leave_one_scenario_out,no_raw_ports,RandomForest,5,ddos_syn_slow_h4_h2,ddos,5206,4,1,0.9990395697272378,0.3331731847154159,0.9990395697272378,5206,0.9990395697272378,0,,0,
leave_one_scenario_out,no_raw_ports,XGBoost,5,ddos_syn_slow_h4_h2,ddos,5206,4,1,1.0,0.3333333333333333,1.0,5206,1.0,0,,0,
leave_one_scenario_out,no_raw_ports,RandomForest,6,ddos_udp_h5_h1,ddos,4455,5,1,0.9021324354657688,0.31618283376602946,0.9021324354657688,4455,0.9021324354657688,0,,0,
leave_one_scenario_out,no_raw_ports,XGBoost,6,ddos_udp_h5_h1,ddos,4455,5,1,0.908641975308642,0.31737818025010783,0.908641975308642,4455,0.908641975308642,0,,0,
leave_one_scenario_out,no_raw_ports,RandomForest,7,ddos_udp_multi_h5h6_h2h3,ddos,5283,5,1,0.8722316865417377,0.3105853806490749,0.8722316865417377,5283,0.8722316865417377,0,,0,
leave_one_scenario_out,no_raw_ports,XGBoost,7,ddos_udp_multi_h5h6_h2h3,ddos,5283,5,1,0.8919174711338255,0.31429047857261966,0.8919174711338255,5283,0.8919174711338255,0,,0,
leave_one_scenario_out,no_raw_ports,RandomForest,8,ddos_udp_multiport_h5_h2,ddos,2412,2,1,1.0,0.3333333333333333,1.0,2412,1.0,0,,0,
leave_one_scenario_out,no_raw_ports,XGBoost,8,ddos_udp_multiport_h5_h2,ddos,2412,2,1,1.0,0.3333333333333333,1.0,2412,1.0,0,,0,
leave_one_scenario_out,no_raw_ports,RandomForest,9,normal_mesh_ping_iperf_http_a,normal,13959,44,1,0.8421090335983953,0.30476264551087606,0.8421090335983953,0,,13959,0.8421090335983953,0,
leave_one_scenario_out,no_raw_ports,XGBoost,9,normal_mesh_ping_iperf_http_a,normal,13959,44,1,0.8427537789239917,0.30488926900698465,0.8427537789239917,0,,13959,0.8427537789239917,0,
leave_one_scenario_out,no_raw_ports,RandomForest,10,normal_mesh_ping_iperf_http_b,normal,15811,44,1,0.8999430776041996,0.31577896138482026,0.8999430776041996,0,,15811,0.8999430776041996,0,
leave_one_scenario_out,no_raw_ports,XGBoost,10,normal_mesh_ping_iperf_http_b,normal,15811,44,1,0.8742647523875783,0.31097163168432657,0.8742647523875783,0,,15811,0.8742647523875783,0,
leave_one_scenario_out,no_raw_ports,RandomForest,11,normal_mesh_udp_tcp_c,normal,7565,44,1,0.9502974223397224,0.3248384618860422,0.9502974223397224,0,,7565,0.9502974223397224,0,
